Scenario,subdomain_1,subdomain_2,subdomain_3,subdomain_4,global,bonferroni
2D Sin Modulation,0.0210,0.0470,0.0310,0.0310,0.0930,0.0590
2D Constant Modulation,0.0290,0.0280,0.0280,0.0270,0.0890,0.0410
